pokemon_uid,pokemon_id,cp,trainer_name,num_upgrades,move_1,move_2,height,weight,stamina,stamina_max,cp_multiplier,additional_cp_multiplier,iv_defense,iv_stamina,iv_attack,last_seen,form,costume
114273419714454088,365,2267,13MCosta,0,218,31,1.32557,169.85,290,290,0.651167,0,13,4,14,"2018-02-12 22:40:19",0,0
118392671565598820,312,1267,Caldinho12,0,219,79,0.458922,5.39121,114,114,0.451712,0,4,8,13,"2018-02-14 04:10:22",0,0
118650499987053496,185,448,frascaino,0,243,64,1.11417,27.7994,50,50,0.173563,0,12,6,15,"2018-02-10 04:21:58",0,0
121472615289374635,214,2344,SSouza51,0,243,245,1.1838,27.2914,212,212,0.614438,0,14,14,7,"2018-02-13 20:40:08",0,0
125853434836359672,149,3157,MontanhaI,24,253,277,2.25219,220.249,174,174,0.44217,0,13,15,15,"2018-02-14 22:03:13",0,0
130544064330861793,94,2114,YuriWitch7,18,264,70,1.60718,46.0473,126,126,0.479609,0,15,12,11,"2018-02-07 17:37:08",0,0
132664233728935266,103,2490,NegoWell,0,274,108,2.1021,125.676,150,150,0.375831,0,6,11,15,"2018-02-18 02:59:24",0,0
135828690647906641,297,2290,SS53H,0,229,245,2.98478,414.097,190,190,0.327222,0,12,4,14,"2018-02-12 12:18:23",0,0
135836533790732031,134,2669,niltonsilva2,18,230,107,1.08754,34.8469,236,236,0.434076,0,5,13,15,"2018-02-08 08:34:15",0,0
147298387613863277,229,1948,niltonsilva2,0,240,280,1.66698,55.4743,136,136,0.424576,0,15,11,9,"2018-02-07 04:28:24",0,0
153110591305110292,214,2660,ilhucalderon,0,261,22,1.49898,59.0268,262,262,0.757757,0,12,13,12,"2018-01-27 16:59:13",NULL,NULL
154073802348679753,214,2557,SS53H,0,243,22,1.72171,71.2339,176,176,0.514906,0,4,12,8,"2018-02-12 00:39:14",0,0
157981278311365967,196,1569,TaylaSdaPaz,1,235,30,1.00083,40.729,96,96,0.333592,0,12,14,15,"2018-02-15 10:32:49",0,0
158255841462157279,4,10,LuizNeujahr,0,220,101,0.510109,4.92256,20,20,0.0573321,0,10,10,10,"2018-02-02 02:42:55",NULL,NULL
164265131955763088,134,2017,japanego24,0,230,58,1.00234,24.9493,334,334,0.62661,0,8,7,7,"2018-02-12 18:06:07",0,0
164266620297652293,217,2090,AntonellaLowen,0,243,245,1.30816,55.0221,120,120,0.321687,0,11,9,0,"2018-02-14 19:19:35",0,0
172590050931354578,65,2466,MCaselatto,21,226,275,1.70507,66.2995,82,82,0.328507,0,13,15,13,"2018-02-12 02:21:52",0,0
176210457718391765,58,414,xxnightmetalxx,0,202,21,0.790801,27.4132,90,90,0.363485,0,10,15,8,"2018-02-17 13:27:34",0,0
184362189331069346,59,2454,Natidanaiti,51,240,103,1.65763,125.648,240,240,0.626038,0,11,13,15,"2018-02-15 14:14:14",0,0
202003053426680196,214,1907,TiagoSalvatte,0,243,31,1.38781,41.2453,170,170,0.495427,0,10,13,6,"2018-02-11 03:49:07",0,0
202960322747349868,103,2331,ChefBergueson,0,274,108,2.23585,165.653,134,134,0.330774,0,7,15,12,"2018-02-16 13:07:15",0,0
203875988489466350,196,2593,Pafuncinho,0,234,108,0.675918,13.5949,112,112,0.389521,0,13,14,15,"2018-02-13 03:43:44",0,0
211950384554451559,166,897,erickm321,0,201,262,1.52732,38.379,164,164,0.675789,0,10,12,7,"2018-02-18 13:30:53",0,0
213207300814378400,12,822,FilipeFCoi,0,235,49,1.33491,45.7434,136,136,0.538086,0,13,7,1,"2018-02-06 19:45:36",0,0
217462028475230067,46,686,Bilafirefighter,0,220,59,0.232642,4.0096,116,116,0.733409,0,8,10,7,"2018-02-02 20:18:16",NULL,NULL
223444472415367257,3,1828,JonesMunari,0,215,47,2.08631,99.207,224,224,0.676142,0,9,7,14,"2018-02-08 18:17:38",0,0
228666013694240694,103,2000,mikenordy,0,271,108,2.20147,130.769,186,186,0.473447,0,12,7,12,"2018-02-06 18:19:37",0,0
229845561948043727,209,106,OxleyJohn,0,221,123,0.572259,5.82406,38,38,0.158583,0,11,3,10,"2018-02-16 11:04:10",0,0
239115320788948695,353,10,VenomValorX,0,263,66,0.532054,1.49978,20,20,0.060014,0,0,6,3,"2018-01-29 15:05:12",NULL,NULL
249199959296567815,214,2203,RAM0SR,0,243,31,0.75,13.7851,180,180,0.524643,0,12,12,12,"2018-01-28 16:01:42",NULL,NULL
249804278423211550,283,26,AntonellaLowen,0,237,99,0.55956,1.87128,20,20,0.106431,0,6,8,9,"2018-02-10 03:07:56",0,0
250179783859047730,242,1646,IZZIIPLAY,0,222,14,1.4728,38.073,300,300,0.287338,0,4,14,10,"2018-02-16 15:51:30",0,0
254849204195267124,242,3199,T10z40,40,234,86,1.52128,55.5458,368,368,0.353451,0,13,13,15,"2018-02-17 08:48:20",0,0
255500760962077982,149,3484,paafonso,37,253,14,1.8555,138.012,136,136,0.349664,0,14,15,14,"2018-02-08 09:12:40",0,0
257207466650699414,289,4000,SirCarrion37,25,287,14,1.9463,111.684,190,190,0.33394,0,13,13,13,"2018-02-17 19:27:55",0,0
258217046778630666,164,1290,AntonellaLowen,0,210,265,1.35681,29.4183,154,154,0.386427,0,10,0,10,"2018-01-27 05:58:25",NULL,NULL
260826703212409562,112,2308,Fabisastre,10,233,22,1.56897,90.7186,238,238,0.532328,0,15,15,10,"2018-01-29 22:16:28",NULL,NULL
264443264917506468,114,1165,ManuFO12,0,260,90,1.17721,51.9795,102,102,0.358955,0,8,13,14,"2018-02-09 16:03:33",0,0
265052191187349469,106,752,bartbonotto,1,241,32,1.56379,58.1517,62,62,0.279822,0,8,13,9,"2018-01-31 21:20:53",NULL,NULL
274884705593251256,10,14,LurentoPel,0,201,133,0.31463,3.40981,30,30,0.157742,0,6,8,9,"2018-02-06 07:11:15",0,0
278257459558036986,242,2840,Uiliam13,24,234,86,1.4375,41.0895,518,518,0.498134,0,15,11,15,"2018-02-17 12:53:32",0,0
278288750425781712,191,10,VaiPraDeus,0,215,59,0.264393,1.31536,20,20,0.156289,0,5,5,4,"2018-01-31 09:47:52",NULL,NULL
278296961983581245,164,1660,datanis,0,274,265,2.10323,69.0421,250,250,0.589821,0,6,12,9,"2018-02-18 13:29:34",0,0
283031595012928645,112,2549,FelicityVamp,2,241,31,2.106,146.024,148,148,0.335985,0,11,11,11,"2018-02-12 01:52:32",0,0
314017908040082858,143,1912,CamachoVolcan,0,212,268,2.37944,601.768,268,268,0.401542,0,11,14,7,"2018-02-13 20:37:40",0,0
317397787223605840,282,2913,niltonsilva2,12,235,70,1.64603,47.3742,138,138,0.468055,0,10,13,15,"2018-02-17 15:17:06",0,0
320533739374754914,214,2303,niltonsilva2,0,243,245,1.51731,53.9857,250,250,0.730988,0,1,12,4,"2018-02-09 04:31:10",0,0
326928504604613120,3,1893,AntonellaLowen,0,215,47,1.92375,84.9417,126,126,0.381514,0,9,6,14,"2018-01-30 14:07:14",NULL,NULL
330136072649281767,124,1156,TiagoSalvatte,0,235,254,1.46544,44.97,96,96,0.341727,0,11,11,8,"2018-02-08 00:49:58",0,0
331617757214348424,134,1298,LoboTilt02,0,230,105,1.01447,25.9322,154,154,0.290781,0,8,5,14,"2018-02-10 19:56:01",0,0
332431853253233886,143,3099,CrisRoveda,31,212,14,1.94954,401.811,308,308,0.464222,0,15,13,13,"2018-02-11 01:43:16",0,0
332664877080455001,286,1974,japanego24,0,243,59,1.36621,49.5848,124,124,0.47492,0,8,11,13,"2018-02-13 02:52:45",0,0
347343594317277955,130,3249,T10z40,40,283,107,6.35238,293.578,142,142,0.353487,0,15,11,15,"2018-02-17 11:25:02",0,0
353080837581633177,127,1538,Ramonzitors,3,201,245,1.7922,82.2924,118,118,0.412554,0,8,15,6,"2018-01-28 20:28:47",NULL,NULL
361976322421519550,217,1581,JadeLuzardo,0,228,14,1.94388,169.126,116,116,0.298054,0,7,15,10,"2018-02-13 02:39:30",0,0
364379377182476669,103,2590,Leomarjr,2,274,116,2.3712,166.222,226,226,0.552948,0,12,15,10,"2018-02-15 01:19:20",0,0
367775650865065790,142,1249,Ledv1995,0,239,62,1.91722,61.2681,140,140,0.412598,0,13,12,15,"2018-02-12 23:29:14",0,0
368479465025770674,103,2656,CacaGo5,30,234,59,2.03695,124.286,178,178,0.4384,0,15,15,14,"2018-02-14 13:29:15",0,0
375746109905020676,143,2888,KhalDrig,4,234,31,2.07581,403.24,216,216,0.332694,0,11,6,14,"2018-02-16 20:42:09",0,0
378736862530562160,135,1826,jedrtskl,6,205,78,0.726278,20.3118,82,82,0.292516,0,14,11,13,"2018-02-07 10:49:05",0,0
386816182067394462,134,2050,Marilhola,6,230,58,0.889774,25.2325,218,218,0.407349,0,14,10,15,"2018-02-02 20:33:38",NULL,NULL
389690415619887814,149,2331,Potatoemankind,44,204,14,2.20225,235.076,112,112,0.286425,0,12,14,15,"2018-02-16 10:40:14",0,0
392941431312233494,143,2165,RichardinhoGP,0,234,14,1.90112,385.781,190,190,0.292649,0,8,6,9,"2018-02-01 14:20:54",NULL,NULL
394962069491800000,162,544,gabelvt,0,219,123,2.21655,43.9804,138,138,0.380423,0,9,14,11,"2018-01-29 03:55:32",NULL,NULL
401191786585462651,2,1204,MaiconNeujahr,0,215,90,0.950976,12.0991,88,88,0.328421,0,11,15,12,"2018-01-31 07:04:17",NULL,NULL
402181965095424589,143,2427,nocamila,0,234,268,2.4427,599.858,268,268,0.413618,0,11,4,15,"2018-02-10 01:10:41",0,0
404886684274432926,260,2200,Rodynely,0,230,284,1.39832,62.5134,168,168,0.392928,0,14,14,11,"2018-02-11 17:14:31",0,0
413926954086270230,371,493,albertokk88,0,202,279,0.557975,34.0099,80,80,0.40116,0,12,11,6,"2018-02-14 04:17:24",0,0
421374233185318139,248,2034,Trinkain3,0,266,32,1.71837,143.375,150,150,0.356116,0,12,13,10,"2018-02-09 09:07:54",0,0
422417026933481161,214,1880,TiagoSalvatte,0,261,22,1.44987,59.6871,114,114,0.346151,0,4,5,12,"2018-02-13 01:22:47",0,0
423609083917209607,312,1033,MaiconNeujahr,0,219,79,0.390488,3.06355,80,80,0.31709,0,4,9,3,"2018-02-11 23:42:17",0,0
424909955826966724,6,2170,BRCoutinhoRS,8,269,83,2.24276,141.115,160,160,0.471381,0,13,14,11,"2018-02-15 03:35:32",0,0
426694435822659051,242,1830,Natthhan,0,234,14,1.30642,22.6272,446,446,0.426324,0,13,14,15,"2018-02-08 00:51:39",0,0
441499080658855593,320,1048,SSouza51,0,231,105,1.88464,86.0299,256,256,0.479307,0,5,8,14,"2018-02-13 20:01:11",0,0
448697390491342914,321,1580,CamachoVolcan,0,234,14,14.1257,361.536,296,296,0.417973,0,12,15,14,"2018-02-14 11:16:46",0,0
457465615628931852,134,2537,MrsDarth95,8,230,105,1.04816,25.738,244,244,0.456349,0,10,8,14,"2018-01-31 03:27:59",NULL,NULL
457711915643954457,131,1458,Fafazudo,0,218,107,3.01251,325.9,256,256,0.477499,0,11,10,15,"2018-01-30 20:03:52",NULL,NULL
458540174744568970,105,1143,AntonellaLowen,0,241,26,1.08415,54.1484,114,114,0.432675,0,10,12,10,"2018-02-07 12:32:38",0,0
466743387193638130,134,2846,phgo8,18,230,105,1.00215,32.0845,190,190,0.348694,0,11,13,15,"2018-02-11 22:36:05",0,0
468629306256691339,234,1099,Follmer10,2,234,22,1.60656,112.222,152,152,0.481027,0,11,12,13,"2018-02-13 19:24:51",0,0
468813536754676380,214,2644,Joubert11,0,261,245,1.71163,59.9024,162,162,0.482622,0,11,9,14,"2018-01-29 02:21:22",NULL,NULL
469574158463208443,214,1337,Lucaswreck,0,261,245,1.51576,47.5127,188,188,0.549839,0,4,12,8,"2018-01-27 12:07:36",NULL,NULL
471018711606578880,214,1316,martinscecilia,1,261,22,1.33094,38.833,128,128,0.369696,0,6,15,8,"2018-02-05 20:37:05",0,0
472506436996952987,134,2507,Blackojacko2121,36,230,105,0.915964,19.0781,172,172,0.31594,0,14,15,14,"2018-02-17 14:47:46",0,0
474519292895803380,36,2002,LESS4NDR0,3,234,86,1.0605,28.6286,238,238,0.58461,0,15,15,12,"2018-01-28 07:10:38",NULL,NULL
475722770587811843,121,1560,0507leoni,0,230,108,1.02379,72.6112,174,174,0.651184,0,12,15,5,"2018-01-29 12:22:43",NULL,NULL
478471656740902139,134,2255,ZeratusFury,10,230,105,1.00387,27.012,226,226,0.413176,0,15,15,15,"2018-01-30 22:09:06",NULL,NULL
479558378046580525,73,826,martinscecilia,0,224,91,1.74838,76.0601,106,106,0.326542,0,13,4,10,"2018-01-30 12:57:53",NULL,NULL
480401725373540053,143,1409,letonlefr,3,212,31,1.88064,397.556,214,214,0.326431,0,14,8,7,"2018-02-02 16:15:47",NULL,NULL
483313511399894986,214,2419,AndraGalle,0,261,31,1.72222,77.793,154,154,0.448446,0,11,13,9,"2018-02-07 04:39:38",0,0
505040067947745067,214,1063,BlunoAcaty,0,243,31,1.36199,37.262,82,82,0.240407,0,7,13,15,"2018-02-17 01:58:37",0,0
510689183989200091,214,720,GemeosOliveira,0,243,31,1.70315,66.3757,108,108,0.319631,0,11,11,10,"2018-01-28 18:35:14",NULL,NULL
520206932978921295,143,2372,Vittorsbo3,0,212,31,2.14487,447.888,344,344,0.526516,0,7,7,4,"2018-02-08 11:20:12",0,0
533073353080317259,143,2864,Pazitto,22,234,31,1.91953,413.117,248,248,0.375012,0,15,11,12,"2018-02-15 05:00:15",0,0
554962187663112475,112,2348,luanfserpa,5,241,32,1.71637,104.298,140,140,0.331878,0,11,3,9,"2018-02-07 02:20:42",0,0
557140760351871812,214,2369,RodrigoLealDias,0,243,31,1.45082,55.4038,190,190,0.557579,0,5,11,9,"2018-02-10 11:10:04",0,0
560025072184400557,354,1617,AntonellaLowen,0,264,70,1.20778,15.863,112,112,0.414878,0,11,7,11,"2018-01-27 06:09:00",NULL,NULL
576481177179722674,285,221,LurentoPel,0,271,272,0.473764,5.97865,116,116,0.435957,0,15,14,13,"2018-02-15 18:08:46",0,0
579232462025875547,315,797,MelissaRosa31,0,215,47,0.323225,2.41584,80,80,0.379116,0,12,7,15,"2018-02-14 12:19:06",0,0
586864934444094538,214,1974,KajiSugawara,0,243,31,1.66048,73.6281,126,126,0.385865,0,10,4,11,"2018-01-27 12:26:03",NULL,NULL
595941138279682198,297,2463,Diegopel,0,229,268,2.11312,225.314,236,236,0.395656,0,14,11,15,"2018-01-30 16:21:08",NULL,NULL
597336152397817121,214,2212,TibabuArmao,0,243,245,1.35804,42.9899,182,182,0.546858,0,15,8,14,"2018-02-07 17:27:15",0,0
598792041619085006,143,2379,13MCosta,0,212,14,1.71983,261.03,428,428,0.652689,0,3,9,6,"2018-02-06 16:19:59",0,0
601534582334376004,85,1695,MrDarth78,0,239,45,1.8769,89.0674,116,116,0.472315,0,11,4,6,"2018-02-08 12:13:10",0,0
607760088435213733,134,2704,Gabr1elBarros,0,230,105,1.08963,35.1408,232,232,0.434746,0,14,7,15,"2018-02-10 00:57:05",0,0
614057178584591496,134,3104,erickm321,62,230,58,1.02025,29.0039,254,254,0.462817,0,14,15,15,"2018-02-17 17:12:34",0,0
626403187309382681,134,2763,Kairog,0,230,107,1.03415,28.8512,180,180,0.335365,0,8,10,15,"2018-02-10 11:48:30",0,0
630361792463376902,297,2239,Gabr1elBarros,0,243,245,2.49779,256.817,244,244,0.404136,0,8,15,5,"2018-02-18 13:29:34",0,0
631281197445288774,129,54,miellefs,0,231,133,0.794351,8.07488,30,30,0.336791,0,14,6,6,"2018-02-15 12:02:16",0,0
632517469599209203,365,2199,Natidanaiti,0,283,31,1.47566,164.392,226,226,0.495393,0,13,10,15,"2018-02-14 13:41:21",0,0
637624016820524253,333,435,0507leoni,0,211,45,0.449604,1.29168,88,88,0.432955,0,7,12,4,"2018-02-10 23:13:58",0,0
637819055063330933,26,1393,MestreCarolS,0,205,77,0.745638,21.804,84,84,0.318089,0,2,15,15,"2018-02-14 21:18:28",0,1
642547789717723478,242,2817,SirCarrion37,24,222,14,1.533,47.4946,400,400,0.384997,0,15,10,14,"2018-02-16 13:25:15",0,0
643190258608929620,143,2568,MathPorciuncula,14,212,14,2.17744,480.442,258,258,0.387905,0,13,13,15,"2018-02-02 20:54:59",NULL,NULL
647194372935936240,143,2515,Cazueira,13,234,268,2.31048,556.132,276,276,0.413136,0,13,15,14,"2018-02-16 21:21:46",0,0
648217961676993306,113,902,13MCosta,0,234,14,1.0025,31.0217,474,474,0.466634,0,7,10,9,"2018-02-18 03:32:13",0,0
656621275764684902,248,2574,T10z40,0,202,279,1.81022,189.41,128,128,0.298713,0,12,15,12,"2018-01-31 10:33:58",NULL,NULL
656912397381332742,297,2057,Dearleite,2,243,245,2.39185,300.242,348,348,0.58418,0,9,10,14,"2018-02-03 23:16:55",NULL,NULL
667962775852568945,214,623,RoroPL,0,261,22,1.49363,37.0028,102,102,0.303216,0,14,9,5,"2018-01-28 15:46:13",NULL,NULL
669439732889755375,76,2555,EduMaXPrO,0,233,32,1.70057,490.451,116,116,0.335268,0,12,14,11,"2018-02-10 11:24:07",0,0
681636716021915019,217,2073,AntonellaLowen,0,228,14,1.73116,103.64,152,152,0.425679,0,1,0,12,"2018-01-29 11:55:00",NULL,NULL
689200520245573702,112,2368,Henriquehbx18,17,233,31,1.70232,70.0407,230,230,0.522745,0,14,11,14,"2018-02-12 19:26:00",0,0
692389060868194747,260,2469,T10z40,0,230,91,1.71691,114.653,142,142,0.335362,0,8,12,15,"2018-02-15 14:10:15",0,0
695205930012172388,344,547,AlissonWeymer,0,235,108,1.5204,82.0673,114,114,0.462687,0,11,4,6,"2018-02-15 18:19:36",0,0
695717069873790753,253,961,miguelzim0097,0,219,117,1.06032,28.1984,84,84,0.368405,0,11,15,12,"2018-02-14 21:53:06",0,0
697015638035622957,248,2824,LucasM92,15,202,279,1.84637,167.58,194,194,0.463211,0,15,11,12,"2018-02-16 15:21:15",0,0
699026448582143499,295,1927,MOR4T4,0,202,84,1.77861,120.621,260,260,0.589558,0,7,13,13,"2018-02-14 14:26:57",0,0
704974654776469949,65,2479,MrsDarth95,0,235,275,1.5242,48.0126,146,146,0.584797,0,14,15,7,"2018-02-12 18:19:08",0,0
733750144079549004,143,2910,Henriquecustodi,22,234,14,2.04305,421.833,418,418,0.631384,0,15,12,15,"2018-02-10 21:47:15",0,0
734777199423072516,217,1632,TassianeAguiar,12,243,88,2.3823,231.151,112,112,0.287853,0,13,15,13,"2018-02-15 14:33:58",0,0
736138088574016627,134,2598,AntonellaLowen,3,230,107,1.31002,48.5902,188,188,0.355392,0,6,5,10,"2018-02-14 11:20:08",0,0
738853924524486681,351,921,mikasilva987,0,221,273,0.290603,0.70633,164,164,0.570309,0,7,5,3,"2018-02-12 20:23:41",29,0
744502866143725117,185,597,duuuuuuuuuuudu,0,243,31,1.01683,23.9046,126,126,0.424112,0,8,10,6,"2018-02-01 23:11:11",NULL,NULL
752078264031256585,316,131,NorisRejane,0,222,39,0.421223,12.0943,62,62,0.213066,0,5,8,7,"2018-02-12 00:40:20",0,0
759537515202233714,134,2000,MestreCarolS,5,230,105,0.885308,24.2662,264,264,0.48123,0,13,15,13,"2018-02-02 17:53:08",NULL,NULL
760511278421917576,112,2899,erickm321,24,233,32,1.89498,97.6535,244,244,0.545613,0,15,15,13,"2018-02-07 23:04:54",0,0
776827176056090183,112,3264,Marcelofagon,36,233,32,1.96929,124.461,182,182,0.413086,0,15,12,14,"2018-02-17 22:14:23",0,0
781054822206168670,130,2809,neomarla,21,202,277,8.16633,404.416,224,224,0.55068,0,11,15,15,"2018-02-13 13:43:23",0,0
789436224031839646,242,2201,DuduuPicachu,9,222,14,1.50063,44.3728,526,526,0.50259,0,11,14,13,"2018-02-18 13:36:38",0,0
797121673631572579,234,1611,LuizNeujahr,0,234,127,1.48292,78.5859,206,206,0.687527,0,9,4,15,"2018-02-03 21:59:47",NULL,NULL
799744324091418952,208,1376,Giovane6,0,253,268,7.75729,233.285,166,166,0.506057,0,15,15,13,"2018-02-08 08:34:15",0,0
802134370362329676,214,1900,MrDarth78,0,261,245,1.50722,54.1643,192,192,0.557036,0,7,13,7,"2018-02-07 08:14:05",0,0
806812623452419898,264,960,endrigoo324,0,213,272,0.481947,28.9323,138,138,0.43591,0,6,4,5,"2018-02-12 12:19:43",0,0
809298911031299341,3,2082,GuilhermeCon7,0,215,90,1.84688,76.2411,106,106,0.327009,0,14,5,10,"2018-02-13 14:23:27",0,0
812054033594453712,112,2425,IsaFabres,0,241,284,1.53471,71.0733,136,136,0.304608,0,13,14,14,"2018-02-16 09:28:18",0,0
814696055042033692,74,737,Guilherminvs,0,221,63,0.436697,24.8328,82,82,0.436761,0,10,14,9,"2018-02-01 18:12:27",NULL,NULL
816045671316666316,59,2423,VaiPraDeus,0,240,279,1.85952,133.954,130,130,0.338047,0,8,14,4,"2018-01-28 09:15:19",NULL,NULL
819208003198595761,198,449,EduardoX92,0,238,16,0.568714,2.57602,76,76,0.313305,0,2,3,10,"2018-01-30 20:30:40",NULL,NULL
825294208559154678,17,29,MAHXSI,1,210,121,0.938886,27.6363,28,28,0.108644,0,11,9,10,"2018-02-12 21:43:15",0,0
832597490358374342,143,2918,RiVaDaViA17,0,234,268,2.26486,498.357,218,218,0.338021,0,7,5,12,"2018-02-10 03:05:56",0,0
842301670027648769,134,2884,merlibraga,21,230,105,0.863595,25.4278,182,182,0.341906,0,15,7,13,"2018-02-16 08:45:16",0,0
843061959899567545,134,2728,PescadorSupremo,0,230,107,0.878132,23.9108,336,336,0.631699,0,7,7,14,"2018-02-10 16:20:51",0,0
843527123312040444,289,3984,CamachoVolcan,10,287,31,2.05725,152.734,186,186,0.335344,0,15,7,11,"2018-02-14 06:09:40",0,0
861750893277800879,242,2391,japanego24,0,222,108,1.47555,42.1828,356,356,0.339202,0,15,15,15,"2018-01-31 16:02:46",NULL,NULL
864175421640043666,149,3018,Pafuncinho,20,253,277,2.28521,241.971,192,192,0.490611,0,15,14,11,"2018-02-07 16:01:41",0,0
873338457335649298,55,1451,ptkila,5,230,107,1.49565,53.7864,220,220,0.633533,0,14,14,15,"2018-02-01 14:32:42",NULL,NULL
875231483365026043,214,1421,SorRobson87,3,243,31,1.61874,54.3603,112,112,0.329454,0,14,10,11,"2018-02-12 04:23:45",0,0
877781252688847318,149,2184,Kaffeeina,3,239,122,2.01469,220.597,176,176,0.447474,0,15,15,13,"2018-02-13 19:19:28",0,0
879897412737906716,103,2274,phgo8,0,274,116,2.15264,112.501,172,172,0.423959,0,10,13,5,"2018-02-10 22:56:26",0,0
880692320250271493,76,2613,Gekancom,26,227,259,1.39803,341.591,154,154,0.44119,0,15,15,14,"2018-02-09 18:07:37",0,0
882154453254798336,134,2845,Narinhash,18,230,58,0.802809,13.1443,258,258,0.479589,0,14,11,14,"2018-02-13 19:00:00",0,0
882533221162221672,214,2292,VaiPraDeus,0,243,22,1.45165,47.9306,158,158,0.498024,0,15,0,3,"2018-01-31 21:17:17",NULL,NULL
884064035561529434,143,2933,Diegobx28,23,212,14,2.35553,597.023,348,348,0.52134,0,13,15,15,"2018-02-07 14:08:40",0,0
884537470171114470,242,2853,MakanoLoko,22,234,86,1.38568,32.7405,392,392,0.375625,0,4,14,14,"2018-02-18 05:03:44",0,0
886911159232884374,134,1650,RuffyRS,1,230,105,1.05762,29.5919,300,300,0.547715,0,15,14,13,"2018-01-27 19:08:47",NULL,NULL
889600440231715947,214,1730,Stobarico,4,261,245,1.58242,66.5912,140,140,0.408325,0,11,12,15,"2018-02-09 11:57:20",0,0
896534067791554216,149,3288,fkegles,30,253,14,2.12741,174.58,214,214,0.55411,0,15,12,14,"2018-02-07 17:29:45",0,0
898635559742616109,232,2817,DiegoBarrosKND,32,243,31,1.12189,122.707,254,254,0.656,0,13,14,14,"2018-02-16 15:58:00",0,0
900164298651231369,149,2780,Jessabraham,5,253,14,2.68423,298.82,116,116,0.318893,0,15,1,12,"2018-02-17 13:25:15",0,0
903372372424803101,38,1516,sarkatos,0,269,270,1.17096,26.1607,122,122,0.386585,0,12,12,15,"2018-02-08 13:21:44",0,0
904039502549585575,214,2539,soareskalicki,0,261,31,1.80445,76.1895,116,116,0.340621,0,5,13,5,"2018-01-29 03:44:04",NULL,NULL
